lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
JCHI-ADAR-MALS-CABR-CKPE,Interval 3,3,0.73,0.37,216.22,272.85,2
ATUH-KGAR-DMEN-TWAL-ACOV,Interval 3,3,8.33,4.08,-68.63,-84.07,-7
EVIL-KGAR-CABR-JVIL-TWAL,Interval 3,3,1.96,1.08,-37.04,-50.89,-1
EVIL-MALS-CABR-JVIL-TWAL,Interval 3,3,1.36,0.68,176.47,219.78,3
EVIL-ATUH-MALS-JVIL-DMEN,Interval 3,3,3.7,1.73,-69.36,-81.08,-3
EVIL-ATUH-CABR-JVIL-DMEN,Interval 3,3,14.6,10.46,0.0,0.0,0
EVIL-ATUH-DMEN-TWAL-ACOV,Interval 3,3,3.36,1.92,41.67,59.44,2
EVIL-ATUH-CABR-DMEN-TWAL,Interval 3,3,29.13,16.92,7.09,10.3,3
EVIL-ATUH-MALS-TWAL-ACOV,Interval 3,3,4.3,2.93,-54.61,-93.13,-4
ATUH-MALS-CABR-TWAL-ACOV,Interval 3,3,8.8,5.67,-14.11,-22.74,-2
EVIL-ATUH-KGAR-CABR-TWAL,Interval 3,3,0.5,0.11,727.27,400.0,2
EVIL-ATUH-KGAR-JVIL-DMEN,Interval 3,3,4.5,2.25,0.0,0.0,0
EVIL-MALS-CABR-DMEN-TWAL,Interval 3,3,3.26,2.48,48.39,92.02,3
JCHI-ATUH-DMEN-TWAL-CKPE,Interval 3,3,2.86,1.67,23.95,34.9,1
EVIL-MALS-JVIL-TWAL-CKPE,Interval 3,3,6.44,4.78,41.84,77.66,5
EVIL-KGAR-DMEN-TWAL-CKPE,Interval 3,3,5.83,3.32,24.1,34.31,2
JCHI-ATUH-ADAR-MALS-ACOV,Interval 3,3,5.16,3.4,35.29,58.08,3
JCHI-KGAR-MALS-CABR-JVIL,Interval 3,3,3.2,1.68,-47.62,-62.5,-2
JCHI-ADAR-KGAR-MALS-ACOV,Interval 3,3,1.9,1.08,111.11,157.89,3
JCHI-ADAR-KGAR-MALS-DMEN,Interval 3,3,3.0,1.28,0.0,0.0,0
ATUH-KGAR-JVIL-DMEN-ACOV,Interval 3,3,3.9,2.17,73.73,102.56,4
EVIL-KGAR-MALS-DMEN-TWAL,Interval 3,3,3.86,3.15,25.4,51.81,2
EVIL-ATUH-MALS-CABR-TWAL,Interval 3,3,4.03,2.6,0.0,0.0,0
